Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
557671,1150,0.5,30.8,0.42,1290,0.21,0.3,89,1.14,0.03,42.3,0.33,15.9,54.9,49.0,0.2,POINT (-5.673667916465894 54.24515931803199),5.63,8.76,Loam
557672,750,0.5,31.4,0.43,344,0.45,0.26,72,1.34,0.02,26.8,0.2,5.3,61.3,57.0,0.1,POINT (-5.679770619077178 54.414184327210435),4.85,20.35,Clay
557673,550,0.5,35.0,0.52,1090,0.13,0.29,75,1.07,0.02,63.9,0.19,10.1,59.0,45.0,0.1,POINT (-5.659676679817275 54.25162782400728),4.73,6.35,Clay
557674,650,0.5,25.1,1.05,567,0.25,0.24,68,0.89,0.03,25.1,0.19,8.0,47.1,62.0,0.09,POINT (-5.775743673443429 54.32838109003967),5.46,11.53,Silt
557675,530,0.5,29.4,0.42,591,0.2,0.2,65,0.69,0.02,19.7,0.12,5.6,47.4,57.0,0.06,POINT (-5.869997321958641 54.364407207801904),4.8,9.27,Clay
557676,640,0.5,24.8,0.44,908,0.18,0.32,89,0.91,0.03,91.9,0.16,8.4,50.9,48.0,0.06,POINT (-5.65075940379376 54.242477225146864),4.98,7.58,Silt
557678,280,0.5,32.1,0.24,559,0.17,0.32,65,0.96,0.02,19.3,0.06,7.3,54.4,48.0,0.06,POINT (-5.696881503408247 54.42856567225724),5.08,6.97,Silt
557679,830,0.5,19.0,0.28,287,0.35,0.18,55,0.97,0.03,17.1,0.17,4.1,42.4,64.0,0.11,POINT (-5.786832399480011 54.410390031179915),4.96,14.22,Silt
557681,910,0.5,22.5,0.28,248,0.26,0.18,40,0.39,0.03,18.3,0.18,3.6,18.6,23.0,0.09,POINT (-5.712966255975641 54.43861190410216),4.61,18.65,Clay
557682,690,0.5,30.1,0.53,526,0.24,0.2,61,0.69,0.02,21.8,0.2,14.9,38.7,45.0,0.08,POINT (-5.884403316314282 54.322132550086835),5.01,12.75,Silt
557683,450,0.5,32.1,0.41,755,0.21,0.32,83,1.47,0.03,20.4,0.13,7.6,74.9,166.0,0.07,POINT (-5.865530375723174 54.326822856869725),5.69,8.64,Loam
557684,560,0.5,19.0,0.58,597,0.18,0.17,58,0.41,0.02,20.4,0.16,7.7,25.8,37.0,0.07,POINT (-5.875010658852091 54.314994647350254),5.16,10.11,Silt
557685,590,0.5,16.3,0.49,497,0.2,0.22,102,1.09,0.02,26.5,0.16,14.8,50.2,48.0,0.05,POINT (-5.801454073711543 54.26545869515801),4.91,8.64,Clay
557686,900,0.5,36.6,0.78,765,0.25,0.22,84,0.87,0.03,69.3,0.31,22.4,49.6,49.0,0.07,POINT (-5.748540761277511 54.2739077630131),5.11,9.13,Silt
557687,650,0.5,24.5,0.51,627,0.17,0.25,80,1.11,0.02,30.1,0.18,6.3,54.0,60.0,0.09,POINT (-5.66253732260692 54.40432689199371),4.79,12.32,Clay
557688,550,0.5,22.3,0.35,943,0.25,0.28,74,1.0,0.03,20.5,0.17,6.1,50.3,51.0,0.08,POINT (-5.729637340450431 54.389442495995716),5.76,10.97,Loam
557689,600,0.5,21.0,0.49,646,0.15,0.22,66,0.84,0.02,15.6,0.16,4.9,64.7,55.0,0.08,POINT (-5.7862299956933985 54.311761870860884),4.6,11.83,Clay
557690,460,0.5,16.6,0.47,942,0.13,0.29,79,0.67,0.02,23.5,0.08,6.0,41.3,45.0,0.06,POINT (-5.75409895581539 54.43036245293058),4.14,8.9,Clay
557691,660,0.5,26.4,0.84,935,0.19,0.3,75,0.65,0.03,28.5,0.2,8.9,41.7,38.0,0.09,POINT (-5.788359627225551 54.428083586083666),5.15,11.0,Silt
557692,780,0.5,27.1,0.44,483,0.44,0.2,76,0.93,0.03,24.7,0.25,11.8,51.2,49.0,0.09,POINT (-5.769283121244693 54.28499552821816),5.83,9.54,Loam
